Year,Month,Day,Unit,Rep,Height_cm
2021,6,10,414,3,17.5
2021,6,10,414,4,12
2021,6,10,414,5,14
2021,6,10,414,6,21
2021,6,10,414,7,9.5
2021,6,10,414,8,7
2021,6,10,414,9,15
2021,6,10,414,10,10
2021,6,10,415,1,25
2021,6,10,415,2,23
2021,6,10,415,3,20
2021,6,10,415,4,19
2021,6,24,102,1,21
2021,6,24,102,2,23.5
2021,6,24,102,3,21
2021,6,24,102,4,14
2021,6,24,102,5,17.5
2021,6,24,102,6,20
2021,6,24,102,7,13.5
2021,6,24,102,8,25
2021,6,24,102,9,21.5
2021,6,24,105,1,21.5
2021,6,24,105,2,30
2021,6,24,105,3,25.5
2021,6,24,105,4,15.5
2021,6,24,105,5,19.5
2021,6,24,105,6,7
2021,6,24,105,7,6
2021,6,24,105,8,10.5
2021,6,24,105,9,21
2021,6,24,105,10,19.5
2021,6,24,106,1,15.5
2021,6,24,106,2,30.5
2021,6,24,106,3,28
2021,6,24,106,4,17.5
2021,6,24,106,5,26
2021,6,24,106,6,16.5
2021,6,24,106,7,19
2021,6,24,106,8,17
2021,6,24,106,9,15.5
2021,6,24,106,10,20
2021,6,24,107,1,27.5
2021,6,24,107,2,20.5
2021,6,24,107,3,25.5
2021,6,24,107,4,33
2021,6,24,107,5,20
2021,6,24,107,6,15.5
2021,6,24,107,7,23
2021,6,24,107,8,16.5
2021,6,24,107,9,16
2021,6,24,107,10,18
2021,6,24,110,1,23
2021,6,24,110,2,16
2021,6,24,110,3,18.5
2021,6,24,110,4,19
2021,6,24,110,5,29.5
2021,6,24,110,6,15
2021,6,24,110,7,13.5
2021,6,24,110,8,14.5
2021,6,24,110,9,31.5
2021,6,24,110,10,32
2021,6,24,113,1,25
2021,6,24,113,2,27
2021,6,24,113,3,13
2021,6,24,113,4,33.5
2021,6,24,113,5,20
2021,6,24,113,6,36.5
2021,6,24,113,7,26
2021,6,24,113,8,31.5
2021,6,24,113,9,29.5
2021,6,24,113,10,24
2021,6,24,204,1,11
2021,6,24,205,1,23.5
2021,6,24,205,2,13
2021,6,24,205,3,28.5
2021,6,24,205,4,31
2021,6,24,205,5,23
2021,6,24,205,6,24
2021,6,24,205,7,26
2021,6,24,205,8,24.5
2021,6,24,205,9,19.5
2021,6,24,209,1,18.5
2021,6,24,209,2,17.5
2021,6,24,209,3,13
2021,6,24,209,4,19
2021,6,24,209,5,15
2021,6,24,209,6,24.5
2021,6,24,209,7,35
2021,6,24,209,8,33.5
2021,6,24,209,9,38.5
2021,6,24,209,10,38
2021,6,24,214,1,34.5
2021,6,24,214,2,25
2021,6,24,214,3,29.5
2021,6,24,214,4,29
2021,6,24,214,5,24.5
2021,6,24,214,6,26.5
2021,6,24,214,7,18.5
2021,6,24,215,1,15
2021,6,24,215,2,15
2021,6,24,215,3,26
2021,6,24,215,4,27.5
2021,6,24,215,5,16
2021,6,24,215,6,55
2021,6,24,215,7,25
2021,6,24,215,8,16.5
2021,6,24,215,9,14
2021,6,24,215,10,11.5
2021,6,24,218,1,16.5
2021,6,24,218,2,19.5
2021,6,24,218,3,14.5
2021,6,24,218,4,28
2021,6,24,218,5,23
2021,6,24,218,6,25
2021,6,24,218,7,20
2021,6,24,218,8,30.5
2021,6,24,218,9,24.5
2021,6,24,218,10,33
2021,6,24,302,1,21.5
2021,6,24,302,2,16.5
2021,6,24,302,3,8.5
2021,6,24,302,4,15.5
2021,6,24,302,5,36
2021,6,24,302,6,27
2021,6,24,302,7,22
2021,6,24,302,8,12.5
2021,6,24,303,1,33
2021,6,24,303,2,48
2021,6,24,303,3,28.5
2021,6,24,303,4,40
2021,6,24,303,5,24
2021,6,24,303,6,25.5
2021,6,24,303,7,13.5
2021,6,24,303,8,15.5
2021,6,24,303,9,11
2021,6,24,303,10,16.5
2021,6,24,309,1,25
2021,6,24,309,2,17.5
2021,6,24,309,3,17
2021,6,24,309,4,22
2021,6,24,309,5,19.5
2021,6,24,309,6,19
2021,6,24,309,7,18
2021,6,24,309,8,22
2021,6,24,309,9,15
2021,6,24,309,10,18.5
2021,6,24,310,1,16
2021,6,24,310,2,13
2021,6,24,310,3,13
2021,6,24,310,4,12.5
2021,6,24,310,5,15
2021,6,24,310,6,12
2021,6,24,310,7,14.5
2021,6,24,310,8,14
2021,6,24,310,9,16.5
2021,6,24,310,10,18.5
2021,6,24,312,1,20.5
2021,6,24,312,2,18
2021,6,24,312,3,19.5
2021,6,24,312,4,16.5
2021,6,24,312,5,22.5
2021,6,24,312,6,33
2021,6,24,312,7,19.5
2021,6,24,312,8,15
2021,6,24,312,9,21
2021,6,24,312,10,16.5
2021,6,24,315,1,21.5
2021,6,24,315,2,26.5
2021,6,24,315,3,16
2021,6,24,315,4,22.5
2021,6,24,315,5,16.5
2021,6,24,315,6,23
2021,6,24,315,7,15.5
2021,6,24,315,8,16.5
2021,6,24,315,9,31
2021,6,24,315,10,21
2021,6,24,317,1,27
2021,6,24,317,2,7
2021,6,24,317,3,20
2021,6,24,317,4,17
2021,6,24,317,5,23
2021,6,24,317,6,24
2021,6,24,317,7,37
2021,6,24,317,8,36
2021,6,24,317,9,29.5
2021,6,24,317,10,27.5
2021,6,24,401,1,17.5
2021,6,24,401,2,13.5
2021,6,24,401,3,37
2021,6,24,401,4,26
2021,6,24,401,5,16.5
2021,6,24,401,6,20.5
2021,6,24,401,7,17
2021,6,24,401,8,19.5
2021,6,24,401,9,12
2021,6,24,401,10,14.5
2021,6,24,406,1,26
2021,6,24,406,2,24
2021,6,24,406,3,22
2021,6,24,406,4,26.5
2021,6,24,406,5,17
2021,6,24,412,1,25.5
2021,6,24,412,2,25
2021,6,24,412,3,16.5
2021,6,24,412,4,25
2021,6,24,412,5,27
2021,6,24,412,6,14.5
2021,6,24,412,7,30.5
2021,6,24,412,8,36
2021,6,24,413,1,15.5
2021,6,24,413,2,17.5
2021,6,24,413,3,13
2021,6,24,413,4,34
2021,6,24,413,5,18
2021,6,24,413,6,28
2021,6,24,413,7,27
2021,6,24,413,8,32.5
2021,6,24,413,9,15
2021,6,24,413,10,24
2021,6,24,414,1,17.5
2021,6,24,414,2,15
2021,6,24,414,3,13
2021,6,24,414,4,20
2021,6,24,414,5,28.5
2021,6,24,414,6,24
2021,6,24,414,7,14.5
2021,6,24,414,8,39.5
2021,6,24,414,9,23
2021,6,24,414,10,20.5
2021,6,24,415,1,39.5
2021,6,24,415,2,31
2021,6,24,415,3,33
2021,6,24,415,4,22
2021,7,9,102,1,23.5
2021,7,9,102,2,24.5
2021,7,9,102,3,23
2021,7,9,102,4,16
2021,7,9,102,5,19.5
2021,7,9,102,6,30
2021,7,9,102,7,13.5
2021,7,9,102,8,20.5
2021,7,9,102,9,23
2021,7,9,105,1,23
2021,7,9,105,2,32
2021,7,9,105,3,27.5
2021,7,9,105,4,17
2021,7,9,105,5,23
2021,7,9,105,6,18.5
2021,7,9,105,7,8.5
2021,7,9,105,8,11
2021,7,9,105,9,20.5
2021,7,9,105,10,22
2021,7,9,106,1,19
2021,7,9,106,2,31.5
2021,7,9,106,3,13
2021,7,9,106,4,31
2021,7,9,106,5,18
2021,7,9,106,6,27.5
2021,7,9,106,7,17.5
2021,7,9,106,8,20
2021,7,9,106,9,18
2021,7,9,106,10,14.5
2021,7,9,107,1,28.5
2021,7,9,107,2,22
2021,7,9,107,3,27.5
2021,7,9,107,4,34
2021,7,9,107,5,22
2021,7,9,107,6,19
2021,7,9,107,7,25
2021,7,9,107,8,16
2021,7,9,107,9,18
2021,7,9,107,10,19.5
2021,7,9,110,1,39
2021,7,9,110,2,38
2021,7,9,110,3,33
2021,7,9,110,4,16
2021,7,9,110,5,11.5
2021,7,9,110,6,21.5
2021,7,9,110,7,30.5
2021,7,9,110,8,33.5
2021,7,9,110,9,18
2021,7,9,110,10,20
2021,7,9,113,1,32
2021,7,9,113,2,33
2021,7,9,113,3,28.5
2021,7,9,113,4,39
2021,7,9,113,5,35.5
2021,7,9,113,6,9
2021,7,9,113,7,34.5
2021,7,9,113,8,15.5
2021,7,9,113,9,21
2021,7,9,113,10,35
2021,7,9,204,1,11.5
2021,7,9,205,1,23.5
2021,7,9,205,2,14
2021,7,9,205,3,31
2021,7,9,205,4,24.5
2021,7,9,205,5,33.5
2021,7,9,205,6,27
2021,7,9,205,7,25
2021,7,9,205,8,27.5
2021,7,9,205,9,22
2021,7,9,209,1,17.5
2021,7,9,209,2,14.5
2021,7,9,209,3,15
2021,7,9,209,4,19.5
2021,7,9,209,5,17.5
2021,7,9,209,6,19
2021,7,9,209,7,41
2021,7,9,209,8,25.5
2021,7,9,209,9,39.5
2021,7,9,209,10,28.5
2021,7,9,214,1,19.5
2021,7,9,214,2,26
2021,7,9,214,3,29
2021,7,9,214,4,29
2021,7,9,214,5,26.5
2021,7,9,214,6,34.5
2021,7,9,214,7,31
2021,7,9,215,1,26
2021,7,9,215,2,27
2021,7,9,215,3,14.5
2021,7,9,215,4,17
2021,7,9,215,5,27
2021,7,9,215,6,31
2021,7,9,215,7,21
2021,7,9,215,8,17.5
2021,7,9,215,9,16
2021,7,9,218,1,21.5
2021,7,9,218,2,31.5
2021,7,9,218,3,24
2021,7,9,218,4,33
2021,7,9,218,5,26.5
2021,7,9,218,6,16.5
2021,7,9,218,7,20
2021,7,9,218,8,27
2021,7,9,218,9,17.5
2021,7,9,218,10,16.5
2021,7,9,302,1,24.5
2021,7,9,302,2,17.5
2021,7,9,302,3,17
2021,7,9,302,4,23
2021,7,9,302,5,39.5
2021,7,9,302,6,15.5
